,Date,Team,TeamRank,TeamRating,Score,Opponent,OppRank,OppRating,RatingDiff,GameTo15VictoryMargin
0,2019-05-24,North Carolina,1,2125,"Score(team_a=15, team_b=8)",Ohio State,9,1907,218,7.0
1,2019-05-24,North Carolina,1,2125,"Score(team_a=15, team_b=4)",California,22,1713,412,11.0
2,2019-05-25,North Carolina,1,2125,"Score(team_a=15, team_b=6)",Georgia,15,1834,291,9.0
3,2019-05-25,North Carolina,1,2125,"Score(team_a=15, team_b=9)",Minnesota,16,1822,303,6.0
4,2019-05-26,North Carolina,1,2125,"Score(team_a=15, team_b=8)",Wisconsin,13,1880,245,7.0
5,2019-05-26,North Carolina,1,2125,"Score(team_a=15, team_b=10)",Cal Poly-SLO,4,1991,134,5.0
6,2019-05-27,North Carolina,1,2125,"Score(team_a=8, team_b=14)",Brown,2,2112,13,-6.428571428571429
7,2019-05-24,Brown,2,2112,"Score(team_a=15, team_b=11)",Iowa State,32,1629,483,4.0
8,2019-05-24,Brown,2,2112,"Score(team_a=15, team_b=8)",North Carolina State,11,1895,217,7.0
9,2019-05-25,Brown,2,2112,"Score(team_a=11, team_b=7)",Texas,14,1846,266,5.454545454545454
10,2019-05-25,Brown,2,2112,"Score(team_a=15, team_b=7)",Michigan,18,1799,313,8.0
11,2019-05-26,Brown,2,2112,"Score(team_a=15, team_b=10)",Ohio State,9,1907,205,5.0
12,2019-05-26,Brown,2,2112,"Score(team_a=15, team_b=10)",Colorado,6,1976,136,5.0
14,2019-05-24,Pittsburgh,3,2016,"Score(team_a=14, team_b=12)",Oregon,5,1988,28,2.142857142857143
15,2019-05-24,Pittsburgh,3,2016,"Score(team_a=9, team_b=14)",Victoria,38,1583,433,-5.357142857142857
16,2019-05-25,Pittsburgh,3,2016,"Score(team_a=15, team_b=13)",Wisconsin,13,1880,136,2.0
17,2019-05-25,Pittsburgh,3,2016,"Score(team_a=12, team_b=5)",Tufts,20,1779,237,8.75
18,2019-05-26,Pittsburgh,3,2016,"Score(team_a=13, team_b=15)",Colorado,6,1976,40,-2.0
19,2019-05-24,Cal Poly-SLO,4,1991,"Score(team_a=15, team_b=4)",Rutgers,74,1400,591,11.0
20,2019-05-24,Cal Poly-SLO,4,1991,"Score(team_a=13, team_b=10)",Colorado,6,1976,15,3.4615384615384612
21,2019-05-25,Cal Poly-SLO,4,1991,"Score(team_a=15, team_b=10)",Washington,12,1891,100,5.0
22,2019-05-25,Cal Poly-SLO,4,1991,"Score(team_a=8, team_b=14)",Northeastern,21,1720,271,-6.428571428571429
23,2019-05-26,Cal Poly-SLO,4,1991,"Score(team_a=15, team_b=10)",Michigan,18,1799,192,5.0
25,2019-05-24,Oregon,5,1988,"Score(team_a=15, team_b=8)",Tufts,20,1779,209,7.0
27,2019-05-25,Oregon,5,1988,"Score(team_a=15, team_b=10)",Victoria,38,1583,405,5.0
28,2019-05-25,Oregon,5,1988,"Score(team_a=12, team_b=9)",Wisconsin,13,1880,108,3.75
29,2019-05-25,Oregon,5,1988,"Score(team_a=12, team_b=13)",Michigan,18,1799,189,-1.1538461538461537
30,2019-05-24,Colorado,6,1976,"Score(team_a=15, team_b=11)",Northeastern,21,1720,256,4.0
32,2019-05-25,Colorado,6,1976,"Score(team_a=14, team_b=8)",Rutgers,74,1400,576,6.428571428571429
33,2019-05-25,Colorado,6,1976,"Score(team_a=14, team_b=13)",Washington,12,1891,85,1.0714285714285714
34,2019-05-25,Colorado,6,1976,"Score(team_a=12, team_b=10)",Georgia,15,1834,142,2.5
38,2019-05-24,Ohio State,9,1907,"Score(team_a=8, team_b=10)",Minnesota,16,1822,85,-3.0
39,2019-05-25,Ohio State,9,1907,"Score(team_a=14, team_b=8)",California,22,1713,194,6.428571428571429
40,2019-05-25,Ohio State,9,1907,"Score(team_a=14, team_b=8)",Georgia,15,1834,73,6.428571428571429
41,2019-05-25,Ohio State,9,1907,"Score(team_a=14, team_b=9)",Washington,12,1891,16,5.357142857142857
43,2019-05-24,North Carolina State,11,1895,"Score(team_a=14, team_b=15)",Michigan,18,1799,96,-1.0
45,2019-05-25,North Carolina State,11,1895,"Score(team_a=15, team_b=13)",Iowa State,32,1629,266,2.0
46,2019-05-25,North Carolina State,11,1895,"Score(team_a=13, team_b=14)",Texas,14,1846,49,-1.0714285714285714
47,2019-05-26,North Carolina State,11,1895,"Score(team_a=11, team_b=15)",Tufts,20,1779,116,-4.0
48,2019-05-24,Washington,12,1891,"Score(team_a=15, team_b=10)",Rutgers,74,1400,491,5.0
49,2019-05-24,Washington,12,1891,"Score(team_a=14, team_b=11)",Northeastern,21,1720,171,3.2142857142857144
53,2019-05-24,Wisconsin,13,1880,"Score(team_a=15, team_b=6)",Victoria,38,1583,297,9.0
54,2019-05-24,Wisconsin,13,1880,"Score(team_a=9, team_b=8)",Tufts,20,1779,101,1.6666666666666667
57,2019-05-25,Wisconsin,13,1880,"Score(team_a=13, team_b=11)",Texas,14,1846,34,2.3076923076923075
59,2019-05-24,Texas,14,1846,"Score(team_a=15, team_b=7)",Michigan,18,1799,47,8.0
60,2019-05-24,Texas,14,1846,"Score(team_a=15, team_b=7)",Iowa State,32,1629,217,8.0
64,2019-05-24,Georgia,15,1834,"Score(team_a=13, team_b=9)",Minnesota,16,1822,12,4.615384615384615
65,2019-05-24,Georgia,15,1834,"Score(team_a=10, team_b=8)",California,22,1713,121,3.0
72,2019-05-25,Minnesota,16,1822,"Score(team_a=12, team_b=8)",California,22,1713,109,5.0
73,2019-05-26,Minnesota,16,1822,"Score(team_a=15, team_b=5)",Rutgers,74,1400,422,10.0
76,2019-05-25,Michigan,18,1799,"Score(team_a=15, team_b=14)",Iowa State,32,1629,170,1.0
82,2019-05-25,Tufts,20,1779,"Score(team_a=10, team_b=13)",Victoria,38,1583,196,-3.4615384615384612
87,2019-05-25,Northeastern,21,1720,"Score(team_a=15, team_b=7)",Rutgers,74,1400,320,8.0
89,2019-05-25,Northeastern,21,1720,"Score(team_a=10, team_b=9)",California,22,1713,7,1.5
99,2019-05-25,Iowa State,32,1629,"Score(team_a=12, team_b=8)",Victoria,38,1583,46,5.0
